Name,Address,Operation,Type,Explanation,Img
유성궁도장,대전 유성구 덕명로56번길 89,08:00 ~ 21:00,Cultural attractions,"There is an archery in the dose park.It is a archery that is run by Yuseong -gu and has become a favorite place for sportsmen who enjoy the archery.The archer was completed in July 2007 and completed in a year and three months.There are main buildings and attached buildings on the second floor.The building is operated in modern style, and the archery's preference is high.If you shoot a bow, the arrow is automatically carried, and it is the most advanced that there is a facility of the “palace” that maintains the temperature of the bow even before shooting the bow.Looking around from the archery, you can feel the coziness with a beautiful mountain.And more than 200 members enjoy the archery.In the meantime, these members have practiced in the Dunchi in front of Eoeun -dong -gu Office, so they are rejoiced than anyone else.",https://mblogthumb-phinf.pstatic.net/MjAxODA0MTdfNjAg/MDAxNTIzOTYyNjM0MjE3.22HhJwPeiqV-3ujZFbdEczwemXcJ8gH467aH246mVZ4g.MiSDMigyxoJwiIRycRkA2_4dnKWVPEzMWrDcVWLTdhkg.JPEG.yuseonggu/image_7921863181523962309167.jpg?type=w800
복용승마장,대전 유성구 덕명로56번길 199,06:00 ~ 19:00 / 휴무일 : 매주 월요일,Cultural attractions,"There is a horse riding ground in Deokmyeong -dong, Yuseong -gu, Daejeon.Horse riding is a special personality that enjoys harmony with the words of life, and modern people who lose humanity and Oh Yeon -gi by stimulating modern civilization are the best sports for the regression of nature, and the balance and flexibility of the body and the right body development.It is a full -body movement to help.Horse riding is a better sport because it correctly corrects the upper body, increases lung capacity, becomes flexible, and has a variety of effects, such as strengthening its long -term function.From March to September, 06: 00 ~ 19: 00 and 09: 00 ~ 17: 00 from October to February.It is a member riding ground and is classified as a coupon member, a monthly member, a year -long member, and a member of the jama.770 seats, a total of 1000 people can be accommodated",https://www.ccnnews.co.kr/news/photo/202303/288338_359597_4147.jpg
대전시립박물관,대전 유성구 도안대로 398,"동절기(11~2월) 10:00~18:00 / 하절기(3~10월) 10:00~19:00 / 휴무일 : 매주 월요일, 1월 1일, 명절 당일",Cultural attractions,"Through the excavation of cultural properties following the development of Daejeon Doan New Town, all the relics of the relics such as Daedong -dong, Yonggye -dong, and Gwanje -dong are secured, and at the same time, the Daejeon Citizens' relics are donated or entrusted to know the various histories of Daejeon from the prehistoric period to the Joseon Dynasty.It is easy to disclose the relics of the Daejeon History Museum, 35,000 related artifacts such as the national attribution cultural assets, and 35,000 relevant artifacts such as the Joseon Dynasty, and there are a total of 48,000 stores.There are 11 points such as dots",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGgOs3qd_Npd_bYJEwqzacmzs1V1paFUUYpQ&s
엑스포다리(야경),대전 유성구 엑스포로 85,"연중무휴, 일몰 ~ 23:00", Cultural attractions,"The Expo Bridge, which was installed in Gapcheon, in front of the Daejeon Expo event in 1993, is a pure walking bridge, and the Expo Bridge has a bridge that wants to walk through the legislative environment, such as arch stamps, bridge tops, waterproof stamps, and sidewalk wooden installation.The night view of the bridge is beautiful, and it is a attraction that is loved by photographers and citizens.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQChmTs3Us62LWdTNc2Eniny1BNgX37hRdHzA&s
대전교통문화연수원,대전 유성구 대덕대로 480,"10:00 ~ 17:00 / 휴무일 : 매주 월요일, 명절",Cultural attractions,"It is a training center for the spread of advanced traffic culture by experiencing prevention, relief, response, healing and recovery through comprehensive learning and experiences on traffic safety, traffic safety experience, traffic safety culture learning center, simulation experience center, video education center,There are on -site training centers, cyber experience centers, and safety education Ennimation",https://image.여기유.com/content_travel/2020021417272915816688494222.jpg
대전 시청 전시실,대전 서구 둔산로 100,연중무휴,Cultural attractions,"Daejeon City Hall is in the spotlight as a place of appointment or meeting place for citizens.It is full of attractions such as performances, exhibitions, and fairs, and the meeting place is provided free of charge.The auditorium and the exhibition room, located on the 1st and 3rd floors of the building, and the seminar room are used throughout the year as various performances, fairs, architectural culture festivals, academy education, and literary works..There are also two community halls, the Sky Madang, the Children's Library, the Sky Library, and the small conference hall.Individuals or organizations who want to perform in the sky yard can be accepted by phone and can be used free of charge.In the sky yard, Western paintings, watercolors, Korean paintings, literary paintings, and calligraphy are displayed throughout the year to provide citizens with opportunities to appreciate art works.",https://cdn.imweb.me/upload/S20190806b57d6d917403a/8dbcc00073e82.jpg
대전시립미술관,대전 서구 둔산대로 155,"10:00 ~ 19:00 / 하절기(3월~10월)→10:00~19:00(금→21:00) 동절기(11월~2월)→10:00~18:00(금→21:00) / 휴무일 : 명절, 매주 월요일",Cultural attractions,"Opened in 1998, the museum has five exhibition rooms, storage, auditoriums and seminar rooms.It consists of outdoor fountains and sculptures.The museum is a public goods, a cultural facility and an educational facility.In order to be used as a place for living education as a linkage and extension of public education, the museum is simply a way of enjoying the art culture of art culture that simply appreciates the work, and expands its role as a social education institution.In addition, we also operate an adult lecture program.",https://cdn.imweb.me/upload/S20190806b57d6d917403a/8805102c1e3d4.jpg
대전 평생교육문화센터,대전 서구 배재로 181,"09:30 ~ 21:00 / 휴무일 : 공휴일, 명절",Cultural attractions,"In January 1993, it was opened as a Women's Center, leading the development and self -realization of citizens.In 2008, the company changed its name to the Lifelong Education and Culture Center, and is trying to realize gender equality and establish a happy family culture, such as opening up male participation and operating family programs.Civil society education such as technology, side jobs, hobbies, culture, and information education, special lectures such as holiday food lectures, and start -up lectures are often run.We are working hard to provide satisfaction with citizens and increase the happiness index by operating a healthy family for happy families, a job information center for job creation, and a women's resource activity center that practices love sharing.It is equipped with a nursery room, audiovisual room, lecture room, conference room, and women's feed.",https://www.ccnnews.co.kr/news/photo/200911/16310_12420_944.jpg
카리용,서구 혜천로 100,00:00 ~ 24:00,Cultural attractions,"78 bronze species have different sizes and pitches.Play with a fistful hand by connecting wood lever and species of species.Kari -yong is also called 'heavenly instrument' because of the beautiful sound that sounds softly up to 2 to 3 km.There is only three opportunities to listen to music that sounds.The performance time is short, but it is enough to impress the listener.Let's not miss the Dutch player once a year and hold a concert.",https://daejeontour.co.kr/upload/atch/tourspot/20220127151947740.jpg
한밭도서관,대전 중구 서문로 10,"09:00 ~ 22:00 / 휴무일 : 명절, 매주 월요일, 매년 1월 1일",Cultural attractions,"Hanbat Library, located in Culture -dong, Jung -gu, Daejeon, has a visual impairment room with a children's family reading room with children's books and regular routes on the first basement floor, a braille book, a recording book, and a braille publication.There is an exhibition room that displays a book exhibition.It is a complex media space with a digital video theater, a video sound room and a multimedia training room.On the second floor, there is a library and a regular route room, and there is a turquoise room for seniors aged 60 or older to search the internet.In the ancestors, the auditorium will perform a variety of performances, including concerts, dances, movies, and fairy tales that hold Saturday Saturday Culture Plaza.This auditorium is a good idea to pay a separate fee.Outdoors, there is a fountain of reading that comes out of 170m granite eruption.There is a separate use time, so be sure to go.There is also a free computer class that runs five times a year, so you can take the textbook.",https://i.namu.wiki/i/NBa1yD6ovh1Jq6Wt_JGIcj-iolBwGbg749fgWwdBXO4Mpmu5NxMMEyt50TgD6mA-B1KEw-DScvBp3gdm2CyhXg.webp
대전중구문화원,대전 중구 대흥로 109,"09:00 ~ 18:00 / 휴무일 : 공휴일, 명절",Cultural attractions,"Opened in 1953, it is a cultural center that is a major project for the preservation of local cultural cultures in Daejeon, collecting local data, community education, public relations exhibitions, development of local culture, and lectures.Major facilities are equipped with exhibition rooms, seminar rooms, lectures, Gwanak and chorus practice, and local feed museum.The venue, the exhibition room, the seminar room and the lecture room can be used and rent.With the history and tradition of 50 years, it has contributed to the development of culture and arts in Daejeon, and has been very helpful for Daejeon art world.In the future, various activities are being conducted with various activities such as research on local history in the region and domestic and international exchange of local cultural events.It is very beneficial because it provides various traditional cultures to Daejeon residents by hosting various events such as the pilgrimage of the Daejeon Modern Cultural Heritage, Baekil Chapter, and the Instrumental Government Law.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7TNKMEISKYhhjFM4MSiXYlRBiIo0jbiIQ6w&s
우송예술회관,대전 동구 동대전로 171,휴무일 : 공연없는날,Cultural attractions,"The Woosong Arts Center, located in Jayang -dong University Campus Town, was established to contribute to the university's emotional education and the cultural development of the community and to lead Daejeon to the center of culture and art.It is equipped with 1,300 seats separated by the 1st, 2nd, and 3rd floors, and is equipped with multipurpose high -tech sound and lighting facilities in the largest stage of the central region.It is equipped with the necessary facilities for various performances, and is suitable for performances and concerts with spacious and comfortable lobby, resting space and 200 parking spaces.It is welcoming the audience with the best service with the service spirit of friendly staff.It is not an art venue for a specific person, but a variety of art themes that can be enjoyed by everyone.",https://www.wsi.ac.kr/site/main/img/imgOrgan_w18.jpg
대전 전통나래관,대전 동구 철갑2길 2,"09:00~18:00 / 휴무일 : 매주 월요일, 추석, 설날 당일",Cultural attractions,"Opened on February 14, 2014 to transfer and foster the designated intangible cultural properties of Daejeon Metropolitan City, the traditional narrative building was built for exhibitions and training of functional holders.Intangible cultural assets can be viewed free of charge throughout the year, and special exhibitions and exchanges provide opportunities for local traditional culture enjoyment.",https://daejeonpress.co.kr/data/cheditor4/old/ArticleUpload/4/20131124135535.jpg
SPACE SSEE,대전 중구 중앙로130번길 37-6,10:00 ~ 19:00 / 휴무일 : 매주 월요일,Cultural attractions,"About 10 times a year, exhibition invitations and solo exhibitions and topical exhibitions are displayed, and the genre includes painting, three -dimensional, photographs, images, installation, sound art, and joint and public art.Solo exhibitions, presentations, seminars, residency, and fields and arts respectful projects related to public values, everyday workshops, education programs, residency, and international multicultural exchanges.Cultural programs are held.Every Monday and exhibition preparation period is closed and the viewing time is from 10 am to 7 pm.Admission is free.The Art Free Market is held from 2 pm to 7 pm on the fourth Saturday of every month, where it sells everything in the world with theater and performance.It is held in India in front of Daejeon Lifelong Learning Center.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIOicCUXPqTomo3z5WKChupC9hXKjozyk9nA&s
우연갤러리,대전 중구 대종로 467,10:00 ~ 19:00,Cultural attractions,"In Daejeon, there is a places where galleries are concentrated like Insa -dong, Seoul, which is Daeheung -dong, Jung -gu, Daejeon.It is located here in Daeheung -dong and opened in April 2000 and held more than 200 exhibitions and exhibitions since its opening.In the past, there have been a lot of quiet and comfortable teahouses with galleries.Cleaning application must be prepared in the gallery.In particular, there is a privilege of the online site (Hanbit Gallery.kr more than 200 people a day) and the publicity expenses for public relations expenses from 15 days before the exhibition.",https://cdn.imweb.me/thumbnail/20200728/c4c9f8bfe1560.jpg
대전중구문화원,대전 중구 대흥로 109,"09:00 ~ 18:00 / 휴무일 : 공휴일, 명절",Cultural attractions,"Opened in 1953, it is a cultural center that is a major project for the preservation of local cultural cultures in Daejeon, collecting local data, community education, public relations exhibitions, development of local culture, and lectures.Major facilities are equipped with exhibition rooms, seminar rooms, lectures, Gwanak and chorus practice, and local feed museum.The venue, the exhibition room, the seminar room and the lecture room can be used and rent.With the history and tradition of 50 years, it has contributed to the development of culture and arts in Daejeon, and has been very helpful for Daejeon art world.In the future, various activities are being conducted with various activities such as research on local history in the region and domestic and international exchange of local cultural events.It is very beneficial because it provides various traditional cultures to Daejeon residents by hosting various events such as the pilgrimage of the Daejeon Modern Cultural Heritage, Baekil Chapter, and the Instrumental Government Law.",https://cdn.imweb.me/upload/S20190806b57d6d917403a/ef0abad6069d1.jpg
천연기념물센터,대전 서구 유등로 927,,Cultural attractions,"The Natural Monument Center, located in Mannan -dong, Seo -gu, was established in 2007 to introduce natural heritage, a natural heritage, and to inform its value and importance.The exhibition room consists of a natural monument corner of our village, forests, wetlands, beaches, geological natural monuments, Dokdo natural monuments, Jeju -do natural monuments, and scenic spots.There is an advantage of seeing 367 natural monuments from all over the country in one place.The actual dinosaur footprints and dinosaur eggs found in more than 100 million years are essential courses for visitors.In addition, the experience space where you can touch animal samples is a popular place for curious children.It operates free education programs for children, elementary school students, teenagers and underprivileged.",https://nrich.go.kr/nhc/images/infoimg02.png
특허청 발명인의 전당,대전 서구 청사로 189,"휴무일 : 공휴일, 명절",Cultural attractions,"The invention of the invention is a cultural space that lives the history of the invention of mankind and ancestors, celebrates the creation spirit of the great inventors, and provides the public and students' interest and hope for the invention and the world of invention and creation.",https://mblogthumb-phinf.pstatic.net/MjAyNDAxMjVfMTAz/MDAxNzA2MTcwNjg5MzU2.ADfFPIZSwPF-C7d-zKTlJ5Auoklw6lbDmWnvivQ2cxog.1bZHZc3Uyrgm5s-UiwQjHgkeUg-AvuuXPVd0JCw_licg.JPEG.storydaejeon/SE-7ef2889b-d414-47e5-9fcd-f8061865913c.jpg?type=w800
대전 아쿠아리움,대전 중구 보문산공원로 469,"평일 10:00 ~19:00(입장마감 18:00), 주말 10:00~20:00(입장마감 19:00)",Cultural attractions,"Daejeon Aquarium is a aquarium that changed the natural cave of Daejeon, which was used as an underground room for war, and is the first and largest freshwater aquarium in Korea.You can see it.It is also a museum that preserves and exhibits world -class endangered animals and takes place with ecosystem education.Not only fish, but also rare animals that are hard to see in Korea, we can see, touch and feed them.",https://i.namu.wiki/i/2MbVjpMDQ3og06wY4SVWNDiatIZlVTHG8R7wUIdlydx9MuvhMQRE_X3BTQbwnlWjtRso3O5PXRnwtHCVxEAcvQ.webp
대전 컨벤션센터,대전 유성구 엑스포로 107,09:00 ~ 21:00,Cultural attractions,"There is a Daejeon Convention Center in the area of ​​Gapcheon.It is a state -of -the -art Daejeon Convention Center with 2000 Grand Ballrooms and 2600 Seat Exhibition Halls.There are new EXPO science parks and outdoor stages and lawns, about 1000 nearby accommodations, restaurants, shopping malls, Hanbat Arboretum, Culture & Arts Center, and Museum of Art, with thousands of rooms in the meteor district. ”10 minutes One -Stop Convention ”is the nation's best convention district.From the attraction of various conventions such as meetings, exhibitions, and events, all services are provided as one -stop.In addition, it is a member company of internationalization planners, hotels, public relations and printing companies, and travel agencies.",https://www.dcckorea.or.kr/img/introduce.jpg
현대갤러리해당,대전 중구 중교로 33,,Cultural attractions,"Hyundai Gallery is located in Daeheung -dong, passing through the city.In 1985, he met with the local art world, and he became a 20 -year -old young man by forming a strong skeleton and muscles through various experiences and trials.Kim Kyung -sook, 65 years old, who had been acquired by others for 15 years after being acquired by others and closed the door of the gallery, was difficult and difficult.We are maintaining the gallery we receive.Occasionally, it has opened a photo exhibition of memories for families, lovers, and colleagues for the general citizens to promote the pride of the citizens and raise the position of the Hyundai Gallery.",https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=1694&fileTy=POSTTHUMB&fileNo=3
한밭종합운동장,대전 중구 대종로 373,00:00 ~ 24:00,Cultural attractions,"Hanbat Sports Complex includes the main stadium, including the main stadium, as well as gymnasium, swimming pool, Jeonggukjang, archery, land auxiliary stadium, gate ball field, rich line skating field, archery field, cycle stadium, and horse riding.It is located in Daejong -ro, Jung -gu, Daejeon, and is also located at the entrance of Bomunsan Park.The main stadium is a second -type athletic stadium consisting of 30,000 people and a natural grass soccer field and 8 lanes.It is free of charge from 5:00 to 9:00 in the morning and from 6 o'clock to ten o'clock in the evening.",https://i.namu.wiki/i/qn6cLfGvo-TD7wPMYz6mI8VaX-hp7F0tJLWZsZl9Imly3jXnBQ7KdcVgnsRsfDwM_LD6zzxfKfn8pfO4t5BAFA.webp
